Marca temporal,¿De qué provincia sos?,"¿De qué localidad, ciudad o barrio sos?",¿Cómo calificarías la situación general de tu distrito hoy?,Contanos brevemente la situación de tu distrito (en pocas palabras),¿Cuáles son los principales problemas de la juventud en tu lugar? (elegí hasta 3),¿Qué necesitan los y las jóvenes de tu distrito para desarrollarse? (elegí hasta 3),¿Qué tan optimista sos sobre el futuro del país?,En una frase: ¿qué país te gustaría construir?,¿Cuál es tu edad?,¿Participás en algún espacio de Jóvenes FR u otro espacio de militancia?,Nombre (opcional)
19/09/2026 16:58:00,Buenos Aires,Tres de Febrero,Mala,,"Inseguridad / violencia, Falta de espacios de participación y recreación","Conectividad y acceso a tecnología, Espacios de participación política y comunitaria, Formación y capacitación profesional",Ni pesimista ni optimista,"Un país más parejo, ni tan bueno ni tan malo como ahora.",18 a 24,Sí,Bruno
19/09/2026 13:18:00,Catamarca,San Fernando del Valle de Catamarca,Buena,,"Falta de empleo / trabajo precario, Falta de acceso a la vivienda, Falta de oportunidades educativas","Formación y capacitación profesional, Apoyo a la salud mental",Ni pesimista ni optimista,Depende de lo que hagamos entre todos.,18 a 24,Sí,Camila
19/09/2026 16:56:00,Neuquén,Plottier,Muy mala,"Está muy complicado, faltan oportunidades y la inseguridad creció mucho.","Falta de oportunidades educativas, Falta de empleo / trabajo precario","Más oportunidades laborales, Formación y capacitación profesional, Espacios de participación política y comunitaria",Ni pesimista ni optimista,"Un país más parejo, ni tan bueno ni tan malo como ahora.",25 a 30,No,Sofía
19/09/2026 13:08:00,Corrientes,Goya,Mala,Hay poca oferta educativa después del secundario.,"Falta de acceso a la vivienda, Falta de espacios de participación y recreación, Falta de empleo / trabajo precario","Más oportunidades laborales, Formación y capacitación profesional",Optimista,Una Argentina con más oportunidades en el interior.,18 a 24,No,Lucas
19/09/2026 10:48:00,Buenos Aires,Mar del Plata,Buena,Hay más propuestas culturales que antes.,Falta de espacios de participación y recreación,"Becas y acceso a la educación superior, Apoyo a la salud mental, Espacios de participación política y comunitaria",Optimista,,18 a 24,Sí,Camila
19/09/2026 10:28:00,Santa Fe,Rafaela,Regular,,"Falta de empleo / trabajo precario, Salud mental, Falta de acceso a la vivienda","Formación y capacitación profesional, Becas y acceso a la educación superior, Infraestructura deportiva y cultural",Optimista,Un país con trabajo digno para los jóvenes.,18 a 24,Sí,Martina
19/09/2026 09:10:00,Córdoba,Alta Gracia,Mala,,"Falta de acceso a la vivienda, Salud mental, Inseguridad / violencia","Formación y capacitación profesional, Apoyo a la salud mental",Ni pesimista ni optimista,,25 a 30,Sí,
19/09/2026 15:17:00,Tucumán,San Miguel de Tucumán,Mala,Cuesta mucho conseguir el primer trabajo acá.,"Consumo problemático de sustancias, Falta de oportunidades educativas","Acceso a créditos o vivienda propia, Espacios de participación política y comunitaria",Optimista,Una Argentina con más oportunidades en el interior.,25 a 30,Sí,Sofía
19/09/2026 12:16:00,Mendoza,San Rafael,Regular,,"Salud mental, Inseguridad / violencia","Formación y capacitación profesional, Más oportunidades laborales",Optimista,,18 a 24,Sí,Franco
19/09/2026 11:09:00,CABA,Villa Urquiza,Mala,Cuesta mucho conseguir el primer trabajo acá.,"Consumo problemático de sustancias, Falta de arraigo (los jóvenes se van del distrito), Falta de espacios de participación y recreación","Formación y capacitación profesional, Más oportunidades laborales",Ni pesimista ni optimista,,Menos de 18,Sí,Mateo
19/09/2026 09:54:00,Misiones,Oberá,Mala,,"Inseguridad / violencia, Salud mental",Programas de prevención de adicciones,Muy pesimista,Un país que no me da ganas de quedarme.,18 a 24,"Todavía no, pero me gustaría",
19/09/2026 14:12:00,Buenos Aires,Lomas de Zamora,Muy buena,,Falta de empleo / trabajo precario,"Acceso a créditos o vivienda propia, Becas y acceso a la educación superior",Muy pesimista,Cada vez es más difícil proyectar algo acá.,18 a 24,Sí,Valentina
19/09/2026 13:58:00,Entre Ríos,Paraná,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.",Consumo problemático de sustancias,"Acceso a créditos o vivienda propia, Más oportunidades laborales",Optimista,,18 a 24,Sí,
19/09/2026 13:32:00,Buenos Aires,Mar del Plata,Buena,Se nota más movimiento y algunas obras nuevas.,"Falta de empleo / trabajo precario, Salud mental","Becas y acceso a la educación superior, Infraestructura deportiva y cultural",Optimista,,25 a 30,"Todavía no, pero me gustaría",Lucas
19/09/2026 09:40:00,Río Negro,Bariloche,Muy mala,"No hay casi nada para los jóvenes, ni trabajo ni espacios para juntarnos.","Falta de espacios de participación y recreación, Inseguridad / violencia, Falta de oportunidades educativas",Espacios de participación política y comunitaria,Optimista,Una Argentina con más oportunidades en el interior.,18 a 24,Sí,Mateo
19/09/2026 13:44:00,San Luis,Villa Mercedes,Regular,,Falta de arraigo (los jóvenes se van del distrito),"Infraestructura deportiva y cultural, Más oportunidades laborales, Becas y acceso a la educación superior",Muy pesimista,Cada vez es más difícil proyectar algo acá.,25 a 30,No,Tomás
19/09/2026 09:37:00,CABA,Balvanera,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.",Inseguridad / violencia,"Apoyo a la salud mental, Mejor transporte público",Optimista,,25 a 30,Sí,Martina
19/09/2026 16:32:00,Mendoza,San Rafael,Mala,Hay poca oferta educativa después del secundario.,"Transporte público deficiente, Falta de espacios de participación y recreación",Acceso a créditos o vivienda propia,Pesimista,,18 a 24,Sí,Sofía
19/09/2026 10:35:00,San Juan,San Juan Capital,Mala,Hay poca oferta educativa después del secundario.,"Inseguridad / violencia, Falta de acceso a la vivienda",Más oportunidades laborales,Pesimista,"Ojalá cambie, pero cuesta creer que va a pasar rápido.",25 a 30,"Todavía no, pero me gustaría",Martina
19/09/2026 10:11:00,CABA,Palermo,Regular,,Inseguridad / violencia,"Formación y capacitación profesional, Mejor transporte público, Espacios de participación política y comunitaria",Pesimista,Un país donde no tenga que elegir entre laburar o estudiar.,18 a 24,Sí,Valentina
19/09/2026 15:26:00,Córdoba,Alta Gracia,Regular,Hay cosas buenas y otras que se estancaron.,"Falta de espacios de participación y recreación, Falta de oportunidades educativas","Becas y acceso a la educación superior, Espacios de participación política y comunitaria",Optimista,Una Argentina con más oportunidades en el interior.,25 a 30,"Todavía no, pero me gustaría",Valentina
19/09/2026 15:35:00,Mendoza,San Rafael,Buena,,Consumo problemático de sustancias,Becas y acceso a la educación superior,Muy optimista,,18 a 24,Sí,Valentina
19/09/2026 13:31:00,Santa Cruz,Río Gallegos,Regular,,"Falta de arraigo (los jóvenes se van del distrito), Salud mental, Falta de empleo / trabajo precario","Más oportunidades laborales, Conectividad y acceso a tecnología",Muy pesimista,Cada vez es más difícil proyectar algo acá.,Menos de 18,Sí,Julieta
19/09/2026 10:32:00,Córdoba,Alta Gracia,Buena,,"Transporte público deficiente, Salud mental, Falta de oportunidades educativas","Conectividad y acceso a tecnología, Espacios de participación política y comunitaria, Infraestructura deportiva y cultural",Optimista,,25 a 30,Sí,Bruno
19/09/2026 12:04:00,Santa Fe,Rosario,Buena,Mejoró el transporte y eso ayudó bastante.,Inseguridad / violencia,"Formación y capacitación profesional, Más oportunidades laborales, Infraestructura deportiva y cultural",Optimista,Una Argentina con más oportunidades en el interior.,Menos de 18,Sí,Lucas
19/09/2026 11:41:00,Buenos Aires,Tigre,Regular,,"Falta de oportunidades educativas, Falta de acceso a tecnología / conectividad, Falta de empleo / trabajo precario","Acceso a créditos o vivienda propia, Apoyo a la salud mental",Ni pesimista ni optimista,,25 a 30,"Todavía no, pero me gustaría",Valentina
19/09/2026 14:02:00,Buenos Aires,Tres de Febrero,Muy buena,Se ve crecimiento y oportunidades para los jóvenes.,"Falta de acceso a la vivienda, Salud mental","Formación y capacitación profesional, Espacios de participación política y comunitaria",Pesimista,,18 a 24,Sí,Agustina
19/09/2026 11:20:00,Buenos Aires,Vicente López,Mala,Cuesta mucho conseguir el primer trabajo acá.,"Falta de espacios de participación y recreación, Falta de arraigo (los jóvenes se van del distrito), Transporte público deficiente","Espacios de participación política y comunitaria, Conectividad y acceso a tecnología, Formación y capacitación profesional",Ni pesimista ni optimista,,25 a 30,No,Camila
19/09/2026 15:14:00,Misiones,Eldorado,Buena,Mejoró el transporte y eso ayudó bastante.,"Falta de empleo / trabajo precario, Inseguridad / violencia",Más oportunidades laborales,Pesimista,,18 a 24,No,
19/09/2026 15:46:00,Tucumán,Concepción,Buena,,"Falta de arraigo (los jóvenes se van del distrito), Falta de oportunidades educativas","Becas y acceso a la educación superior, Apoyo a la salud mental",Pesimista,,Menos de 18,"Todavía no, pero me gustaría",Sofía
19/09/2026 14:35:00,La Pampa,General Pico,Mala,Cuesta mucho conseguir el primer trabajo acá.,"Inseguridad / violencia, Salud mental","Mejor transporte público, Formación y capacitación profesional, Espacios de participación política y comunitaria",Ni pesimista ni optimista,,25 a 30,Sí,Bruno
19/09/2026 15:19:00,Catamarca,San Fernando del Valle de Catamarca,Buena,Mejoró el transporte y eso ayudó bastante.,"Falta de acceso a tecnología / conectividad, Falta de oportunidades educativas","Más oportunidades laborales, Formación y capacitación profesional",Optimista,Uno donde estudiar no sea un privilegio.,Menos de 18,"Todavía no, pero me gustaría",
19/09/2026 15:16:00,Chaco,Sáenz Peña,Regular,,"Falta de acceso a la vivienda, Transporte público deficiente","Apoyo a la salud mental, Programas de prevención de adicciones, Más oportunidades laborales",Optimista,Una Argentina con más oportunidades en el interior.,18 a 24,Sí,Sofía
19/09/2026 12:30:00,Entre Ríos,Gualeguaychú,Regular,,Falta de arraigo (los jóvenes se van del distrito),"Más oportunidades laborales, Apoyo a la salud mental",Ni pesimista ni optimista,"Un país más parejo, ni tan bueno ni tan malo como ahora.",25 a 30,"Todavía no, pero me gustaría",
19/09/2026 11:58:00,Buenos Aires,San Isidro,Mala,,Salud mental,Becas y acceso a la educación superior,Pesimista,,18 a 24,Sí,
19/09/2026 17:45:00,Buenos Aires,Quilmes,Mala,Cuesta mucho conseguir el primer trabajo acá.,Consumo problemático de sustancias,Formación y capacitación profesional,Ni pesimista ni optimista,Depende de lo que hagamos entre todos.,Menos de 18,No,Franco
19/09/2026 10:15:00,Salta,Orán,Regular,Va mejorando de a poco pero todavía falta mucho.,Falta de acceso a la vivienda,"Infraestructura deportiva y cultural, Espacios de participación política y comunitaria, Programas de prevención de adicciones",Muy optimista,"Una Argentina federal, con oportunidades en cada provincia.",Menos de 18,Sí,Lucas
19/09/2026 16:20:00,San Luis,Villa Mercedes,Regular,,"Consumo problemático de sustancias, Inseguridad / violencia","Apoyo a la salud mental, Programas de prevención de adicciones, Infraestructura deportiva y cultural",Muy pesimista,Un país que no me da ganas de quedarme.,18 a 24,No,
19/09/2026 15:21:00,Mendoza,Godoy Cruz,Regular,Va mejorando de a poco pero todavía falta mucho.,"Salud mental, Falta de empleo / trabajo precario","Apoyo a la salud mental, Formación y capacitación profesional",Optimista,Un país con trabajo digno para los jóvenes.,Más de 30,No,Valentina
19/09/2026 11:38:00,Río Negro,Viedma,Muy mala,"Está muy complicado, faltan oportunidades y la inseguridad creció mucho.","Salud mental, Falta de empleo / trabajo precario, Consumo problemático de sustancias","Programas de prevención de adicciones, Apoyo a la salud mental, Becas y acceso a la educación superior",Muy optimista,,Menos de 18,Sí,Mateo
19/09/2026 13:33:00,Misiones,Posadas,Buena,,"Salud mental, Falta de espacios de participación y recreación, Consumo problemático de sustancias","Becas y acceso a la educación superior, Programas de prevención de adicciones",Ni pesimista ni optimista,,25 a 30,No,Bruno
19/09/2026 15:25:00,Buenos Aires,Mar del Plata,Buena,,"Salud mental, Falta de empleo / trabajo precario",Infraestructura deportiva y cultural,Pesimista,Un país donde no tenga que elegir entre laburar o estudiar.,18 a 24,Sí,Bruno
19/09/2026 17:17:00,Santa Fe,Rafaela,Mala,,"Falta de espacios de participación y recreación, Inseguridad / violencia",Conectividad y acceso a tecnología,Pesimista,"Ojalá cambie, pero cuesta creer que va a pasar rápido.",18 a 24,"Todavía no, pero me gustaría",
19/09/2026 09:56:00,Salta,Orán,Mala,Cuesta mucho conseguir el primer trabajo acá.,Salud mental,Formación y capacitación profesional,Optimista,Una Argentina con más oportunidades en el interior.,25 a 30,Sí,Bruno
19/09/2026 15:02:00,Buenos Aires,Mar del Plata,Muy buena,,"Falta de oportunidades educativas, Falta de empleo / trabajo precario","Mejor transporte público, Más oportunidades laborales",Optimista,,18 a 24,No,Franco
19/09/2026 10:30:00,Buenos Aires,Quilmes,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.",Transporte público deficiente,"Espacios de participación política y comunitaria, Apoyo a la salud mental, Mejor transporte público",Ni pesimista ni optimista,Depende de lo que hagamos entre todos.,18 a 24,Sí,Camila
19/09/2026 14:57:00,Santa Fe,Rosario,Mala,Cuesta mucho conseguir el primer trabajo acá.,"Falta de empleo / trabajo precario, Falta de acceso a tecnología / conectividad, Falta de espacios de participación y recreación",Apoyo a la salud mental,Ni pesimista ni optimista,,18 a 24,Sí,
19/09/2026 14:30:00,Córdoba,Río Cuarto,Mala,,Falta de oportunidades educativas,Mejor transporte público,Pesimista,"Ojalá cambie, pero cuesta creer que va a pasar rápido.",25 a 30,Sí,Tomás
19/09/2026 17:39:00,Chubut,Puerto Madryn,Regular,Hay cosas buenas y otras que se estancaron.,"Inseguridad / violencia, Falta de oportunidades educativas","Infraestructura deportiva y cultural, Apoyo a la salud mental",Ni pesimista ni optimista,"Un país más parejo, ni tan bueno ni tan malo como ahora.",Menos de 18,Sí,
19/09/2026 16:28:00,Santa Fe,Rosario,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.","Falta de oportunidades educativas, Falta de acceso a la vivienda, Inseguridad / violencia",Espacios de participación política y comunitaria,Optimista,Un país con trabajo digno para los jóvenes.,25 a 30,"Todavía no, pero me gustaría",Martina
19/09/2026 11:33:00,Tierra del Fuego,Ushuaia,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.","Salud mental, Falta de oportunidades educativas","Más oportunidades laborales, Acceso a créditos o vivienda propia, Apoyo a la salud mental",Muy optimista,,18 a 24,No,Lucas
19/09/2026 16:13:00,Córdoba,Río Cuarto,Muy buena,"Estamos mejor que en otros lugares, hay trabajo y actividades.","Falta de acceso a la vivienda, Salud mental, Consumo problemático de sustancias",Apoyo a la salud mental,Pesimista,,18 a 24,"Todavía no, pero me gustaría",Julieta
19/09/2026 17:59:00,Tucumán,San Miguel de Tucumán,Regular,"Depende mucho del barrio, en el centro está mejor que en las afueras.",Salud mental,"Formación y capacitación profesional, Programas de prevención de adicciones",Pesimista,,18 a 24,Sí,Tomás
19/09/2026 16:39:00,Buenos Aires,Tres de Febrero,Buena,,"Salud mental, Falta de empleo / trabajo precario, Transporte público deficiente","Becas y acceso a la educación superior, Más oportunidades laborales, Espacios de participación política y comunitaria",Optimista,,18 a 24,No,Sofía
19/09/2026 11:21:00,CABA,Flores,Regular,Va mejorando de a poco pero todavía falta mucho.,"Falta de acceso a tecnología / conectividad, Falta de oportunidades educativas","Programas de prevención de adicciones, Conectividad y acceso a tecnología, Apoyo a la salud mental",Optimista,,18 a 24,Sí,Franco
19/09/2026 16:41:00,Chubut,Comodoro Rivadavia,Buena,Hay más propuestas culturales que antes.,"Falta de acceso a tecnología / conectividad, Falta de acceso a la vivienda, Inseguridad / violencia",Formación y capacitación profesional,Optimista,Un país con trabajo digno para los jóvenes.,25 a 30,Sí,
19/09/2026 17:03:00,San Luis,San Luis Capital,Regular,,"Falta de oportunidades educativas, Falta de arraigo (los jóvenes se van del distrito)","Formación y capacitación profesional, Apoyo a la salud mental",Ni pesimista ni optimista,Depende de lo que hagamos entre todos.,Menos de 18,No,Camila
19/09/2026 09:48:00,Corrientes,Corrientes Capital,Buena,,"Falta de empleo / trabajo precario, Falta de oportunidades educativas, Inseguridad / violencia",Infraestructura deportiva y cultural,Ni pesimista ni optimista,"Un país más parejo, ni tan bueno ni tan malo como ahora.",25 a 30,Sí,
19/09/2026 13:06:00,CABA,Caballito,Buena,Se nota más movimiento y algunas obras nuevas.,Transporte público deficiente,"Infraestructura deportiva y cultural, Más oportunidades laborales",Ni pesimista ni optimista,,18 a 24,Sí,
19/09/2026 15:05:00,Entre Ríos,Paraná,Buena,,"Falta de empleo / trabajo precario, Consumo problemático de sustancias","Becas y acceso a la educación superior, Espacios de participación política y comunitaria, Más oportunidades laborales",Muy pesimista,Un país que no me da ganas de quedarme.,25 a 30,Sí,Lucas
19/09/2026 17:10:00,Jujuy,Palpalá,Mala,,Falta de espacios de participación y recreación,"Mejor transporte público, Más oportunidades laborales, Espacios de participación política y comunitaria",Optimista,Una Argentina con más oportunidades en el interior.,18 a 24,No,Julieta
19/09/2026 13:19:00,Misiones,Posadas,Muy mala,,"Falta de empleo / trabajo precario, Salud mental",Conectividad y acceso a tecnología,Optimista,,18 a 24,Sí,Lucas
19/09/2026 17:28:00,Buenos Aires,La Matanza,Mala,,Transporte público deficiente,"Formación y capacitación profesional, Becas y acceso a la educación superior",Optimista,Un país con trabajo digno para los jóvenes.,18 a 24,Sí,Valentina
19/09/2026 14:13:00,Corrientes,Goya,Muy buena,"Estamos mejor que en otros lugares, hay trabajo y actividades.",Falta de acceso a la vivienda,Espacios de participación política y comunitaria,Ni pesimista ni optimista,Depende de lo que hagamos entre todos.,Más de 30,Sí,Mateo
19/09/2026 09:31:00,Mendoza,Maipú,Mala,Hay poca oferta educativa después del secundario.,"Falta de empleo / trabajo precario, Falta de acceso a tecnología / conectividad","Acceso a créditos o vivienda propia, Apoyo a la salud mental",Ni pesimista ni optimista,"Un país más parejo, ni tan bueno ni tan malo como ahora.",25 a 30,"Todavía no, pero me gustaría",
19/09/2026 15:15:00,Buenos Aires,Lomas de Zamora,Buena,Se nota más movimiento y algunas obras nuevas.,Falta de empleo / trabajo precario,"Apoyo a la salud mental, Espacios de participación política y comunitaria, Acceso a créditos o vivienda propia",Ni pesimista ni optimista,,25 a 30,No,Camila
